,target,Condition,ContextCode,PlausibilityJudgement,Cloze,Sentence,context,semantic_association,implementation,model
20,morals,BC,52,1.13,0.4137931034482758,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his morals","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",0.28318748,SE,bigscience/sgpt-bloom-7b1-msmarco
21,hilarious,BC,53,1.32,0.3571428571428571,"Some of his jokes were crummy, but those one-liners were hilarious","Some of his jokes were crummy, but those one-liners were",0.43037257,SE,bigscience/sgpt-bloom-7b1-msmarco
22,restaurant,BC,60,1.74,0.4827586206896552,The inspector from the health department found a roach in a very expensive restaurant,The inspector from the health department found a roach in a very expensive,0.23261426,SE,bigscience/sgpt-bloom-7b1-msmarco
23,felon,BC,61,1.03,0.1428571428571428,The conductor had no idea that the train had been boarded by a known felon,The conductor had no idea that the train had been boarded by a known,0.08097494,SE,bigscience/sgpt-bloom-7b1-msmarco
24,medicine,BC,64,1.22,0.28125,The nurse brought him a glass of juice and his medicine,The nurse brought him a glass of juice and his,0.28338793,SE,bigscience/sgpt-bloom-7b1-msmarco
25,school,BC,65,1.21,0.2857142857142857,The teacher was not looking forward to another year of school,The teacher was not looking forward to another year of,0.07333147,SE,bigscience/sgpt-bloom-7b1-msmarco
26,year,BC,67,1.31,0.2857142857142857,Steve skipped his annual checkup for another year,Steve skipped his annual checkup for another,0.0809628,SE,bigscience/sgpt-bloom-7b1-msmarco
27,vague,BC,72,1.33,0.3103448275862069,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately vague","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",0.08625632,SE,bigscience/sgpt-bloom-7b1-msmarco
28,plants,BC,74,1.29,0.1785714285714285,She poured water on the plants,She poured water on the,0.122924775,SE,bigscience/sgpt-bloom-7b1-msmarco
29,modern,BC,81,1.3,0.5,"Mark liked the older houses, but Susan wanted to buy one that was new and modern","Mark liked the older houses, but Susan wanted to buy one that was new and",0.16735962,SE,bigscience/sgpt-bloom-7b1-msmarco
30,doctor,BC,82,1.06,0.1428571428571428,"In an old sitcom, he was the wise family doctor","In an old sitcom, he was the wise family",0.18343636,SE,bigscience/sgpt-bloom-7b1-msmarco
31,censored,BC,83,1.56,0.1875,"The government controlled the news media, so most of the reports from the war zone were censored","The government controlled the news media, so most of the reports from the war zone were",0.11788407,SE,bigscience/sgpt-bloom-7b1-msmarco
32,medal,BC,84,1.18,0.28125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold medal","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.19872062,SE,bigscience/sgpt-bloom-7b1-msmarco
33,pool,BC,85,1.18,0.25,"During the summer, the children hung out at the pool","During the summer, the children hung out at the",0.04529531,SE,bigscience/sgpt-bloom-7b1-msmarco
34,heroic,BC,86,1.7,0.0625,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be heroic","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",0.25022978,SE,bigscience/sgpt-bloom-7b1-msmarco
35,diary,BC,88,1.33,0.5517241379310345,The little girl kept a lock on her diary,The little girl kept a lock on her,0.2631267,SE,bigscience/sgpt-bloom-7b1-msmarco
36,plane,BC,89,2.0,0.2,"Flying low above her, Bernice could hear the plane","Flying low above her, Bernice could hear the",0.15034287,SE,bigscience/sgpt-bloom-7b1-msmarco
37,car,BC,97,1.54,0.3,Perry heard a grinding noise coming from his car,Perry heard a grinding noise coming from his,0.062133078,SE,bigscience/sgpt-bloom-7b1-msmarco
38,complain,BC,98,1.7,0.53125,"If Jim's manager is incompetent, he has a legitimate right to complain","If Jim's manager is incompetent, he has a legitimate right to",0.1498966,SE,bigscience/sgpt-bloom-7b1-msmarco
39,villain,BC,101,1.82,0.6333333333333333,"In the best part of the movie, the hero has to impersonate the villain","In the best part of the movie, the hero has to impersonate the",0.3918105,SE,bigscience/sgpt-bloom-7b1-msmarco
40,crown,BC,103,1.38,0.46875,The princess wore a crown,The princess wore a,0.21155526,SE,bigscience/sgpt-bloom-7b1-msmarco
41,drum,BC,106,1.34,0.25,Jason was disappointed when the other scouts scared off the elk by loudly beating the drum,Jason was disappointed when the other scouts scared off the elk by loudly beating the,0.18986394,SE,bigscience/sgpt-bloom-7b1-msmarco
42,ruined,BC,107,1.17,0.09375,"After the flood, the house smelled of mildew and everything in it was ruined","After the flood, the house smelled of mildew and everything in it was",0.40252727,SE,bigscience/sgpt-bloom-7b1-msmarco
43,accident,BC,109,1.2,0.2413793103448276,Everyone on the scene gathered around to look at the accident,Everyone on the scene gathered around to look at the,0.1316692,SE,bigscience/sgpt-bloom-7b1-msmarco
44,tied,BC,115,1.78,0.5357142857142857,The final score of the game was tied,The final score of the game was,0.15820883,SE,bigscience/sgpt-bloom-7b1-msmarco
45,exhausted,BC,117,1.48,0.3333333333333333,"After swimming the English Channel, Bonita was cold and completely exhausted","After swimming the English Channel, Bonita was cold and completely",0.342186,SE,bigscience/sgpt-bloom-7b1-msmarco
46,confidence,BC,120,1.48,0.46875,"She had the data to back up everything she said, so the hostile questions did not shake her confidence","She had the data to back up everything she said, so the hostile questions did not shake her",0.18669888,SE,bigscience/sgpt-bloom-7b1-msmarco
47,fabric,BC,125,1.64,0.2857142857142857,"The new dress was very pretty, but it was cut from an unusual fabric","The new dress was very pretty, but it was cut from an unusual",0.09379952,SE,bigscience/sgpt-bloom-7b1-msmarco
48,run,BC,128,1.24,0.2758620689655172,"When the little girl saw the big dog lumbering towards her, she began to run","When the little girl saw the big dog lumbering towards her, she began to",-0.009427248,SE,bigscience/sgpt-bloom-7b1-msmarco
49,stadium,BC,132,1.3,0.4482758620689655,"From her house a half mile away, Diana could still hear the loud cheers coming from the stadium","From her house a half mile away, Diana could still hear the loud cheers coming from the",0.20500626,SE,bigscience/sgpt-bloom-7b1-msmarco
50,storm,BC,133,1.36,0.4333333333333333,Five ships did not survive the storm,Five ships did not survive the,0.17825784,SE,bigscience/sgpt-bloom-7b1-msmarco
51,accident,BC,135,1.09,0.4642857142857143,The paramedics on the scene helped the passengers after the big car accident,The paramedics on the scene helped the passengers after the big car,0.24453919,SE,bigscience/sgpt-bloom-7b1-msmarco
52,crash,BC,136,1.42,0.2333333333333333,The pilot spoke to an air traffic controller just before the crash,The pilot spoke to an air traffic controller just before the,0.23103823,SE,bigscience/sgpt-bloom-7b1-msmarco
53,lunch,BC,140,1.38,0.2857142857142857,The boy scouts started a long hike through the forest after having a big lunch,The boy scouts started a long hike through the forest after having a big,0.1425776,SE,bigscience/sgpt-bloom-7b1-msmarco
54,roads,BC,143,1.41,0.1785714285714285,"When traveling, Roger prefers to stick to major roads","When traveling, Roger prefers to stick to major",0.1778263,SE,bigscience/sgpt-bloom-7b1-msmarco
55,needle,BC,147,1.52,0.6785714285714286,"While hemming a pair of pants, Bridget accidentally dropped her needle","While hemming a pair of pants, Bridget accidentally dropped her",0.34185696,SE,bigscience/sgpt-bloom-7b1-msmarco
56,bear,BC,148,1.25,0.4137931034482758,The rangers say that somewhere in the state park is a bear,The rangers say that somewhere in the state park is a,0.30112574,SE,bigscience/sgpt-bloom-7b1-msmarco
57,stress,BC,153,1.09,0.4642857142857143,The doctor told him his headaches were due to stress,The doctor told him his headaches were due to,0.22393155,SE,bigscience/sgpt-bloom-7b1-msmarco
58,hands,BC,156,1.09,0.5333333333333333,"The groups in the parade walked by slowly, each waving their hands","The groups in the parade walked by slowly, each waving their",0.14004064,SE,bigscience/sgpt-bloom-7b1-msmarco
59,cure,BC,158,1.63,0.5,"The little girl was very sick, but unfortunately there was no cure","The little girl was very sick, but unfortunately there was no",0.12092339,SE,bigscience/sgpt-bloom-7b1-msmarco
60,view,BC,161,1.18,0.5666666666666667,"The meteor shower should have been spectacular, but the city lights blocked the view","The meteor shower should have been spectacular, but the city lights blocked the",-0.01744735,SE,bigscience/sgpt-bloom-7b1-msmarco
61,end,BC,162,1.21,0.6206896551724138,She was unsure how the book would end,She was unsure how the book would,0.06938522,SE,bigscience/sgpt-bloom-7b1-msmarco
62,sales,BC,166,1.59,0.5333333333333333,"He was desperate for a job, so finally took something doing door to door sales","He was desperate for a job, so finally took something doing door to door",0.059330728,SE,bigscience/sgpt-bloom-7b1-msmarco
63,terms,BC,168,1.89,0.6785714285714286,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical terms,The young doctor wanted to work in the barrio so she set to work learning the Spanish translations of common medical,0.005108045,SE,bigscience/sgpt-bloom-7b1-msmarco
64,young,BC,169,1.7,0.8275862068965517,"Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were young","Even though she was blindfolded, Jessie could tell from their voices that one of the kidnapers was old and two were",0.24712749,SE,bigscience/sgpt-bloom-7b1-msmarco
65,business,BC,172,1.25,0.625,"In the window, they posted the hours they were open for business","In the window, they posted the hours they were open for",0.077289216,SE,bigscience/sgpt-bloom-7b1-msmarco
66,contagious,BC,173,1.61,0.5517241379310345,They sent the kids with measles home from school because they were contagious,They sent the kids with measles home from school because they were,0.24062711,SE,bigscience/sgpt-bloom-7b1-msmarco
67,water,BC,174,1.5,0.6896551724137931,"Outside, Cora could hear the running water","Outside, Cora could hear the running",0.20980836,SE,bigscience/sgpt-bloom-7b1-msmarco
68,walk,BC,177,1.64,0.4642857142857143,At night they often took a short walk,At night they often took a short,0.104020976,SE,bigscience/sgpt-bloom-7b1-msmarco
69,published,BC,182,1.36,0.5483870967741935,The wealthy author always points out that she wrote four novels before one was published,The wealthy author always points out that she wrote four novels before one was,0.3596189,SE,bigscience/sgpt-bloom-7b1-msmarco
70,mouse,BC,185,1.48,0.9285714285714286,The kitten waited patiently because behind the refrigerator was a mouse,The kitten waited patiently because behind the refrigerator was a,0.07065257,SE,bigscience/sgpt-bloom-7b1-msmarco
71,cold,BC,187,1.33,0.7931034482758621,Norton hates getting up on winter mornings because it is always cold,Norton hates getting up on winter mornings because it is always,0.31932122,SE,bigscience/sgpt-bloom-7b1-msmarco
72,soil,BC,190,1.09,0.8620689655172413,The fertilizer enriched the soil,The fertilizer enriched the,0.48086217,SE,bigscience/sgpt-bloom-7b1-msmarco
73,note,BC,193,1.09,0.6333333333333333,The young girl passed her friend a note,The young girl passed her friend a,0.15471092,SE,bigscience/sgpt-bloom-7b1-msmarco
74,perfect,BC,196,1.3,0.4827586206896552,He tinkered with the engine every weekend until it was absolutely perfect,He tinkered with the engine every weekend until it was absolutely,0.21306904,SE,bigscience/sgpt-bloom-7b1-msmarco
75,shore,BC,197,1.36,0.5625,"When Diane heard the shark warning, she swam as fast as she could for shore","When Diane heard the shark warning, she swam as fast as she could for",0.12780106,SE,bigscience/sgpt-bloom-7b1-msmarco
76,church,BC,198,1.42,0.7241379310344828,Michael could hear the bells ringing in the tower of the church,Michael could hear the bells ringing in the tower of the,0.26672754,SE,bigscience/sgpt-bloom-7b1-msmarco
77,dirty,BC,200,1.12,0.875,"When he got home from work on the construction site, his clothes were always dirty","When he got home from work on the construction site, his clothes were always",0.21920617,SE,bigscience/sgpt-bloom-7b1-msmarco
78,sun,BC,201,1.68,0.7666666666666667,Kevin propped his head up with a pillow as he basked in the hot sun,Kevin propped his head up with a pillow as he basked in the hot,0.079548545,SE,bigscience/sgpt-bloom-7b1-msmarco
79,price,BC,203,1.38,0.5357142857142857,He bought it without even asking the price,He bought it without even asking the,0.17406148,SE,bigscience/sgpt-bloom-7b1-msmarco
80,ready,BC,204,1.3,0.6206896551724138,"Barry has considered proposing to his girlfriend, but he wants to wait until he is ready","Barry has considered proposing to his girlfriend, but he wants to wait until he is",-0.059318155,SE,bigscience/sgpt-bloom-7b1-msmarco
81,car,BC,205,1.26,0.71875,John was disappointed to discover a scratch on his new car,John was disappointed to discover a scratch on his new,0.14871612,SE,bigscience/sgpt-bloom-7b1-msmarco
82,brain,BC,206,1.31,0.6666666666666666,He was afraid that doing drugs would damage his brain,He was afraid that doing drugs would damage his,0.12599216,SE,bigscience/sgpt-bloom-7b1-msmarco
83,married,BC,207,1.53,0.3448275862068966,"They've been living together for a long time, but don't think they're actually married","They've been living together for a long time, but don't think they're actually",0.31291077,SE,bigscience/sgpt-bloom-7b1-msmarco
84,trouble,BC,208,1.32,0.65625,Dennis the Menance was known for making trouble,Dennis the Menance was known for making,0.2794799,SE,bigscience/sgpt-bloom-7b1-msmarco
85,cover,BC,211,1.03,0.65625,When the shooting started they ran for cover,When the shooting started they ran for,0.07047263,SE,bigscience/sgpt-bloom-7b1-msmarco
86,real,BC,212,1.59,0.4482758620689655,The federal agents examined the hundred dollar bill with a microscope to see if it was real,The federal agents examined the hundred dollar bill with a microscope to see if it was,0.22486247,SE,bigscience/sgpt-bloom-7b1-msmarco
87,simmer,BC,213,1.33,0.6551724137931034,Eva turned down the heat and left the sauce on the stove to simmer,Eva turned down the heat and left the sauce on the stove to,0.39860016,SE,bigscience/sgpt-bloom-7b1-msmarco
88,shadow,BC,215,1.31,0.8214285714285714,"Alone in the canyon, he was so spooked he was scared by his own shadow","Alone in the canyon, he was so spooked he was scared by his own",0.010516925,SE,bigscience/sgpt-bloom-7b1-msmarco
89,lie,BC,220,2.03,0.8571428571428571,Betsy could never tell a lie,Betsy could never tell a,0.18541008,SE,bigscience/sgpt-bloom-7b1-msmarco
90,room,BC,221,1.27,0.84375,The bad boy was sent to his room,The bad boy was sent to his,0.27959597,SE,bigscience/sgpt-bloom-7b1-msmarco
91,scars,BC,223,1.39,0.7241379310344828,"The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his scars","The Vietnam vet had received the Purple Heart, and when he took off his shirt you could see all of his",0.17351182,SE,bigscience/sgpt-bloom-7b1-msmarco
92,fear,BC,226,1.33,0.65625,"Trying to evade their captors, the escaped prisoners of war lived in constant fear","Trying to evade their captors, the escaped prisoners of war lived in constant",0.08788545,SE,bigscience/sgpt-bloom-7b1-msmarco
93,sharp,BC,228,1.11,0.6551724137931034,The tip of the knife was sharp,The tip of the knife was,0.24352157,SE,bigscience/sgpt-bloom-7b1-msmarco
94,stretch,BC,230,1.25,0.5,The little girl pulled on the rubber band to see how far it would stretch,The little girl pulled on the rubber band to see how far it would,0.21988206,SE,bigscience/sgpt-bloom-7b1-msmarco
95,enemy,BC,232,1.24,0.34375,The soldiers had special night vision goggles so they could see the enemy,The soldiers had special night vision goggles so they could see the,0.40120965,SE,bigscience/sgpt-bloom-7b1-msmarco
96,poor,BC,233,1.09,0.9,George was born into a wealthy family and has no idea what it's like to be poor,George was born into a wealthy family and has no idea what it's like to be,0.22528923,SE,bigscience/sgpt-bloom-7b1-msmarco
97,cave,BC,237,1.71,0.7586206896551724,"Looking for bats, Karen descended into the depths of the cave","Looking for bats, Karen descended into the depths of the",0.118100725,SE,bigscience/sgpt-bloom-7b1-msmarco
98,antenna,BC,239,1.44,0.6071428571428571,We finally got a decent picture on the TV after an hour of adjusting the antenna,We finally got a decent picture on the TV after an hour of adjusting the,0.4077908,SE,bigscience/sgpt-bloom-7b1-msmarco
99,stock,BC,240,1.12,0.7241379310344828,It took a week to get his car fixed because the parts were out of stock,It took a week to get his car fixed because the parts were out of,0.07341638,SE,bigscience/sgpt-bloom-7b1-msmarco
100,party,BC,242,1.16,0.875,The dispute was settled by a third party,The dispute was settled by a third,0.21176276,SE,bigscience/sgpt-bloom-7b1-msmarco
101,soon,BC,244,1.24,0.8333333333333334,Our guests should be arriving soon,Our guests should be arriving,0.40246737,SE,bigscience/sgpt-bloom-7b1-msmarco
102,oven,BC,245,1.3,0.896551724137931,The dough was put in the hot oven,The dough was put in the hot,0.40695474,SE,bigscience/sgpt-bloom-7b1-msmarco
103,short,BC,250,1.03,0.5625,Andrew was glad that the meeting was very short,Andrew was glad that the meeting was very,0.091381915,SE,bigscience/sgpt-bloom-7b1-msmarco
104,bus,BC,252,2.07,0.9,"When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour bus","When they came to Florida, Arthur couldn't see the swamp from the back of the crowded tour",0.060555033,SE,bigscience/sgpt-bloom-7b1-msmarco
105,shore,BC,254,1.78,0.9,Most shark attacks occur very close to shore,Most shark attacks occur very close to,0.25388998,SE,bigscience/sgpt-bloom-7b1-msmarco
106,deal,BC,255,1.3,0.8620689655172413,He didn't have to spend much money on the car because he found an incredible deal,He didn't have to spend much money on the car because he found an incredible,0.24307506,SE,bigscience/sgpt-bloom-7b1-msmarco
107,school,BC,256,1.0,0.875,The wealthy child went to a private school,The wealthy child went to a private,0.09656378,SE,bigscience/sgpt-bloom-7b1-msmarco
108,lights,BC,260,1.0,0.65625,"When you go to bed, turn off the lights","When you go to bed, turn off the",0.10474872,SE,bigscience/sgpt-bloom-7b1-msmarco
109,leash,BC,261,1.18,0.90625,George must keep his pet on a leash,George must keep his pet on a,0.39791048,SE,bigscience/sgpt-bloom-7b1-msmarco
110,piles,BC,263,1.36,0.7241379310344828,"He didn't have time to file everything on his desk, so he organized it into two piles","He didn't have time to file everything on his desk, so he organized it into two",0.117414035,SE,bigscience/sgpt-bloom-7b1-msmarco
111,speak,BC,265,1.25,0.8571428571428571,The whole town came to hear their mayor speak,The whole town came to hear their mayor,0.30951178,SE,bigscience/sgpt-bloom-7b1-msmarco
112,arm,BC,273,1.16,0.9642857142857144,Josie found she could not bend the elbow of her broken arm,Josie found she could not bend the elbow of her broken,0.19563818,SE,bigscience/sgpt-bloom-7b1-msmarco
113,wrong,BC,275,1.18,0.6428571428571429,It's hard to admit when one is wrong,It's hard to admit when one is,0.2199406,SE,bigscience/sgpt-bloom-7b1-msmarco
114,said,BC,276,1.36,0.8666666666666667,Vic asked her to repeat what she had said,Vic asked her to repeat what she had,0.1731591,SE,bigscience/sgpt-bloom-7b1-msmarco
115,palace,BC,281,1.39,0.8275862068965517,When they were in London they visited Buckingham palace,When they were in London they visited Buckingham,0.38577563,SE,bigscience/sgpt-bloom-7b1-msmarco
116,mission,BC,282,1.54,0.8620689655172413,The agent was sent to South America on a secret mission,The agent was sent to South America on a secret,0.2464949,SE,bigscience/sgpt-bloom-7b1-msmarco
117,air,BC,283,1.55,0.9310344827586208,Sam knew that rain was coming because he could smell it in the air,Sam knew that rain was coming because he could smell it in the,0.07986473,SE,bigscience/sgpt-bloom-7b1-msmarco
118,raise,BC,286,1.03,0.9333333333333332,His boss refused to give him a raise,His boss refused to give him a,0.18690537,SE,bigscience/sgpt-bloom-7b1-msmarco
119,sleep,BC,287,1.07,0.9642857142857144,She flew in late last night and really didn't get much sleep,She flew in late last night and really didn't get much,0.016252374,SE,bigscience/sgpt-bloom-7b1-msmarco
120,search,BC,288,1.41,0.8620689655172413,"After a week, they gave up on the missing hikers and called off the search","After a week, they gave up on the missing hikers and called off the",-0.03192525,SE,bigscience/sgpt-bloom-7b1-msmarco
121,bonus,Rel,1,2.78,0.0,"Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major bonus","Henry was surprised to find he wouldn't be promoted for his day to day performance, but needed a major",0.369367,SE,bigscience/sgpt-bloom-7b1-msmarco
122,sofa,Rel,8,1.25,0.03125,The cigar burned a hole in the sofa,The cigar burned a hole in the,0.34235257,SE,bigscience/sgpt-bloom-7b1-msmarco
123,effort,Rel,11,1.39,0.0,"His first film was a failure, but he learned some techniques in that first effort","His first film was a failure, but he learned some techniques in that first",0.20994492,SE,bigscience/sgpt-bloom-7b1-msmarco
124,image,Rel,17,1.71,0.0,He was hired for the job because of his fresh new image,He was hired for the job because of his fresh new,0.09740484,SE,bigscience/sgpt-bloom-7b1-msmarco
125,press,Rel,18,2.04,0.0344827586206896,The journal issue that has the new article about diseases of the eye is still in press,The journal issue that has the new article about diseases of the eye is still in,0.03532572,SE,bigscience/sgpt-bloom-7b1-msmarco
126,dance,Rel,22,1.0,0.0,Every spring they held the annual dance,Every spring they held the annual,0.24131559,SE,bigscience/sgpt-bloom-7b1-msmarco
127,tires,Rel,23,1.96,0.0625,"Penelope started to assemble her new bicycle, but was missing the tires","Penelope started to assemble her new bicycle, but was missing the",0.273054,SE,bigscience/sgpt-bloom-7b1-msmarco
128,ownership,Rel,24,1.15,0.0,The restaurant will reopen with new ownership,The restaurant will reopen with new,0.4062575,SE,bigscience/sgpt-bloom-7b1-msmarco
129,insects,Rel,28,1.39,0.0,Jennifer disliked walking under the trees at the edge of the park because they were always full of insects,Jennifer disliked walking under the trees at the edge of the park because they were always full of,0.29619613,SE,bigscience/sgpt-bloom-7b1-msmarco
130,attractive,Rel,36,1.48,0.0,"The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or attractive","The painting had a strong impact on everyone, but they couldn't agree on whether it was ugly or",0.2103507,SE,bigscience/sgpt-bloom-7b1-msmarco
131,ink,Rel,37,1.79,0.0344827586206896,I don't know why people like to see their initials in ink,I don't know why people like to see their initials in,0.13283038,SE,bigscience/sgpt-bloom-7b1-msmarco
132,unique,Rel,38,1.63,0.0,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very unique,The gem cutter examined the ruby very closely before cutting because he knew that one this large was very,0.13728294,SE,bigscience/sgpt-bloom-7b1-msmarco
133,shrine,Rel,39,1.79,0.0,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's shrine,They couldn't decide whether to visit the Roman fort or the ruins of Aphrodite's,0.26724792,SE,bigscience/sgpt-bloom-7b1-msmarco
134,military,Rel,40,1.52,0.0,He took a job training dogs for the military,He took a job training dogs for the,0.29047793,SE,bigscience/sgpt-bloom-7b1-msmarco
135,choir,Rel,41,1.32,0.0,The conductor gave detailed instructions to the choir,The conductor gave detailed instructions to the,0.38771254,SE,bigscience/sgpt-bloom-7b1-msmarco
136,poker,Rel,45,1.3,0.09375,"Down in the basement, Steve and Robert were playing poker","Down in the basement, Steve and Robert were playing",0.1646011,SE,bigscience/sgpt-bloom-7b1-msmarco
137,business,Rel,47,1.15,0.0,"After the most recent price increase, the small business owner decided to order his office supplies from another business","After the most recent price increase, the small business owner decided to order his office supplies from another",0.04539381,SE,bigscience/sgpt-bloom-7b1-msmarco
138,puppy,Rel,48,1.06,0.09375,Sharon was sad that she had lost her puppy,Sharon was sad that she had lost her,0.3447222,SE,bigscience/sgpt-bloom-7b1-msmarco
139,fighting,Rel,50,2.81,0.0689655172413793,"All of armed services will admit women, but females are barred from fighting","All of armed services will admit women, but females are barred from",0.26089922,SE,bigscience/sgpt-bloom-7b1-msmarco
140,affordable,Rel,51,1.19,0.1034482758620689,"After the divorce, she had to move out of the expensive house to an apartment that was affordable","After the divorce, she had to move out of the expensive house to an apartment that was",0.2674109,SE,bigscience/sgpt-bloom-7b1-msmarco
141,values,Rel,52,1.75,0.0689655172413793,"His tactics usually turned out to be beneficial for the business, but they often came in conflict with his values","His tactics usually turned out to be beneficial for the business, but they often came in conflict with his",0.08410812,SE,bigscience/sgpt-bloom-7b1-msmarco
142,humorous,Rel,53,1.25,0.0,"Some of his jokes were crummy, but those one-liners were humorous","Some of his jokes were crummy, but those one-liners were",0.45496306,SE,bigscience/sgpt-bloom-7b1-msmarco
143,cafe,Rel,60,1.47,0.0,The inspector from the health department found a roach in a very expensive cafe,The inspector from the health department found a roach in a very expensive,0.045508727,SE,bigscience/sgpt-bloom-7b1-msmarco
144,convict,Rel,61,1.3,0.0357142857142857,The conductor had no idea that the train had been boarded by a known convict,The conductor had no idea that the train had been boarded by a known,0.264406,SE,bigscience/sgpt-bloom-7b1-msmarco
145,pills,Rel,64,1.52,0.0625,The nurse brought him a glass of juice and his pills,The nurse brought him a glass of juice and his,0.04361428,SE,bigscience/sgpt-bloom-7b1-msmarco
146,classes,Rel,65,1.5,0.0,The teacher was not looking forward to another year of classes,The teacher was not looking forward to another year of,0.062712245,SE,bigscience/sgpt-bloom-7b1-msmarco
147,month,Rel,67,2.46,0.0,Steve skipped his annual checkup for another month,Steve skipped his annual checkup for another,0.028825734,SE,bigscience/sgpt-bloom-7b1-msmarco
148,ambiguous,Rel,72,1.3,0.0689655172413793,"The candidate wanted to please everyone without making any commitments, so his speech was deliberately ambiguous","The candidate wanted to please everyone without making any commitments, so his speech was deliberately",0.20399983,SE,bigscience/sgpt-bloom-7b1-msmarco
149,roses,Rel,74,1.24,0.0,She poured water on the roses,She poured water on the,0.18647216,SE,bigscience/sgpt-bloom-7b1-msmarco
150,contemporary,Rel,81,1.06,0.0333333333333333,"Mark liked the older houses, but Susan wanted to buy one that was new and contemporary","Mark liked the older houses, but Susan wanted to buy one that was new and",0.32729775,SE,bigscience/sgpt-bloom-7b1-msmarco
151,physician,Rel,82,1.64,0.0,"In an old sitcom, he was the wise family physician","In an old sitcom, he was the wise family",0.23286012,SE,bigscience/sgpt-bloom-7b1-msmarco
152,screened,Rel,83,1.43,0.0,"The government controlled the news media, so most of the reports from the war zone were screened","The government controlled the news media, so most of the reports from the war zone were",0.16097628,SE,bigscience/sgpt-bloom-7b1-msmarco
153,trophy,Rel,84,1.35,0.03125,"Grinning wherever he went, it was easy to tell that Carl was proud of his new gold trophy","Grinning wherever he went, it was easy to tell that Carl was proud of his new gold",0.4167099,SE,bigscience/sgpt-bloom-7b1-msmarco
154,lake,Rel,85,1.15,0.0,"During the summer, the children hung out at the lake","During the summer, the children hung out at the",0.2792704,SE,bigscience/sgpt-bloom-7b1-msmarco
155,courageous,Rel,86,1.93,0.0,"The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be courageous","The handsome knight charged into the dark forest after the kidnapped princess, determined to prove that he could be",0.16702245,SE,bigscience/sgpt-bloom-7b1-msmarco
156,journal,Rel,88,1.5,0.0,The little girl kept a lock on her journal,The little girl kept a lock on her,0.25107843,SE,bigscience/sgpt-bloom-7b1-msmarco
157,jet,Rel,89,2.41,0.0333333333333333,"Flying low above her, Bernice could hear the jet","Flying low above her, Bernice could hear the",0.26552033,SE,bigscience/sgpt-bloom-7b1-msmarco
158,engine,Rel,97,1.23,0.1,Perry heard a grinding noise coming from his engine,Perry heard a grinding noise coming from his,0.053688176,SE,bigscience/sgpt-bloom-7b1-msmarco
159,argue,Rel,98,2.58,0.0,"If Jim's manager is incompetent, he has a legitimate right to argue","If Jim's manager is incompetent, he has a legitimate right to",0.057562616,SE,bigscience/sgpt-bloom-7b1-msmarco
160,criminal,Rel,101,1.67,0.0666666666666666,"In the best part of the movie, the hero has to impersonate the criminal","In the best part of the movie, the hero has to impersonate the",0.29877302,SE,bigscience/sgpt-bloom-7b1-msmarco
161,hat,Rel,103,1.5,0.0,The princess wore a hat,The princess wore a,0.19437304,SE,bigscience/sgpt-bloom-7b1-msmarco
162,pans,Rel,106,1.55,0.0,Jason was disappointed when the other scouts scared off the elk by loudly beating the pans,Jason was disappointed when the other scouts scared off the elk by loudly beating the,-0.00066330185,SE,bigscience/sgpt-bloom-7b1-msmarco
163,destroyed,Rel,107,1.3,0.03125,"After the flood, the house smelled of mildew and everything in it was destroyed","After the flood, the house smelled of mildew and everything in it was",0.22886178,SE,bigscience/sgpt-bloom-7b1-msmarco
164,crash,Rel,109,1.18,0.0,Everyone on the scene gathered around to look at the crash,Everyone on the scene gathered around to look at the,0.10504394,SE,bigscience/sgpt-bloom-7b1-msmarco
165,even,Rel,115,2.22,0.0,The final score of the game was even,The final score of the game was,0.306291,SE,bigscience/sgpt-bloom-7b1-msmarco
166,beat,Rel,117,1.08,0.0,"After swimming the English Channel, Bonita was cold and completely beat","After swimming the English Channel, Bonita was cold and completely",0.13168927,SE,bigscience/sgpt-bloom-7b1-msmarco
167,composure,Rel,120,1.13,0.0,"She had the data to back up everything she said, so the hostile questions did not shake her composure","She had the data to back up everything she said, so the hostile questions did not shake her",0.071492895,SE,bigscience/sgpt-bloom-7b1-msmarco
168,material,Rel,125,1.44,0.1071428571428571,"The new dress was very pretty, but it was cut from an unusual material","The new dress was very pretty, but it was cut from an unusual",0.18457463,SE,bigscience/sgpt-bloom-7b1-msmarco
